phrase	raw_frequency	dp1	dp2	logDice	label	compound-nn	compound-adj
cald Cup	571	0,10589719	0,87040207	11,59510451	ne	0	0
schweisstreibend Job	1009	0,026270467	0,868138399	9,706627474	error	0	
erogen Zone	474	0,014651871	0,867968162	8,8831187	term	0	0
versaill Vertrag	2219	0,03216421	0,867470945	9,989170957	ne	0	0
gerüttelt Maß	458	0,004591027	0,866914297	7,225529412	collocation	0	0
fristlos Kündigung	4178	0,198147016	0,865640479	12,3673197	term	0	0
erneuerbare Energie	482	0,003516938	0,864648788	6,842841787	error	0	
schlaflos Nacht	2878	0,027899047	0,862971378	9,790600828	collocation	0	0
autogen Training	1771	0,043881882	0,861602319	10,4181636	term	0	0
krautig Pflanze	4427	0,061688077	0,860603236	10,88138016	term	0	0
erneuerbar Energie	42301	0,308650171	0,860374595	12,86211207	term	0	0
sixtinisch Kapelle	591	0,022077283	0,860127566	9,462180483	ne	0	0
luftleer Raum	941	0,003647255	0,859613299	6,895235548	term	0	0
destilliert Wasser	1640	0,013423529	0,858919819	8,758696938	collocation	0	0
reiflich Überlegung	1087	0,036547942	0,857108361	10,16573684	collocation	0	0
Kanarisch Insel	1744	0,015939858	0,856449557	9,002328472	ne	0	0
gelb-rot Karte	2199	0,019575403	0,856076418	9,292725626	term	0	1
evangelisch-freikirchlich Gemeinde	889	0,003241127	0,854226651	6,725598916	ne	0	1
Freigrafschaft Burgund	452	0,545234823	0,852828253	13,41184922	ne	0	1
getan Arbeit	2235	0,006220672	0,850569606	7,661254147	collocation	0	0
starnberger See	2183	0,023739134	0,846319428	9,563642304	ne	0	0
tausendundein Nacht	663	0,006426973	0,845136926	7,707570785	ne	0	0
wassergefährdend Stoff	710	0,010768656	0,844903154	8,444806009	term	0	1
abgereichert Uran	619	0,224600285	0,844463786	12,50519772	term	0	0
schulterlang Haar	493	0,006619115	0,843798127	7,749687167	collocation	0	1
zerlassen Butter	490	0,094887217	0,84334949	11,44854676	collocation	0	0
evangelisch-methodistisch Kirche	913	0,003022224	0,841482283	6,625079562	term	0	1
barrier Reef	481	0,602002036	0,840907458	13,48888023	ne	0	0
myeloisch Leukämie	405	0,17833514	0,840239379	12,2349892	term	0	0
gebärfähig Alter	505	0,00788741	0,837153065	8,000334823	collocation	0	0
brenzlig Situation	1663	0,008722635	0,83596969	8,144294313	collocation	0	0
extrasolar Planet	538	0,020132653	0,828833169	9,331101838	term	0	0
bürgerschaftlich Engagement	5727	0,070296655	0,828769859	11,05231115	term	0	0
neunzehnt Jahrhundert	1840	0,002182721	0,826383695	6,157832448	error	1	
Früher Neuzeit	657	0,087261871	0,825341592	11,336515	error	1	
dreieinig Gott	563	0,010888716	0,825250561	8,460152506	term	0	0
diakritisch Zeichen	561	0,008413311	0,818638559	8,092252443	term	0	0
limbisch System	960	0,00431736	0,817975876	7,13714313	term	0	0
berchtesgadener Land	1387	0,003147323	0,817969687	6,683530029	ne	0	0
monoklonal Antikörper	991	0,171333576	0,816958072	12,18022047	term	1	0
ehrenhalb Grab	529	0,027758218	0,81626287	9,780849783	term	0	0
halbrechts Position	690	0,00586974	0,815002749	7,577362342	error	0	
schwindelnd Höhe	409	0,005787804	0,814380247	7,557137595	collocation	0	0
katholisch-theologisch Fakultät	718	0,017546856	0,810177296	9,136521173	term	0	1
personenbezogen Datum	12454	0,069193067	0,808840003	11,02876016	term	0	1
judikativ Verwaltung	470	0,011102142	0,808735095	8,487389805	term	0	0
schmerzverzerrt Gesicht	508	0,007686564	0,807294381	7,963004388	collocation	0	1
halblinks Position	632	0,0053763	0,806551594	7,451458509	error	0	
traubig Blütenstand	629	0,079298266	0,80637275	11,20812797	term	1	0
tecklenburger Land	802	0,001819787	0,805395546	5,895515621	ne	0	0
dankenswert Weise	960	0,004389325	0,804251115	7,1607634	collocation	0	1
mildernd Umstand	625	0,011760162	0,804106092	8,56920626	term	0	0
morphogenetisch Feld	436	0,004864387	0,803970016	7,307936426	term	0	1
depech Mode	1226	0,101212021	0,802300108	11,52408147	ne	0	0
verkehrsgünstig Lage	1012	0,0078994	0,799980273	8,002028433	collocation	0	1
gemeindefrei Gebiet	1677	0,009443445	0,799192216	8,256925903	term	0	1
epileptisch Anfall	2200	0,300092624	0,797942455	12,80293525	term	0	0
kometenhaft Aufstieg	430	0,021146278	0,794722178	9,398704272	collocation	0	0
rheinisch-bergisch Kreis	491	0,005083679	0,791442044	7,37104411	ne	0	1
werberelevant Zielgruppe	504	0,026223366	0,791112676	9,699992523	term	1	1
peloponnesisch Krieg	889	0,006588155	0,787432252	7,742347014	term	0	0
berufsbildend Schule	2436	0,013242381	0,786907586	8,737619673	term	0	1
vorlegend Gericht	497	0,008840678	0,786106264	8,162356205	term	0	0
dendritisch Zelle	574	0,013845867	0,78501577	8,800464446	term	0	0
nomenklatorisch Synonym	480	0,124999312	0,781741702	11,78600475	term	0	0
öffentlich-privat Partnerschaft	501	0,023039045	0,777841207	9,518164322	term	0	1
nachchristlich Jahrhundert	1059	0,001255838	0,777229745	5,362299276	term	0	0
liberaldemokratisch Partei	600	0,002906147	0,773136643	6,568363113	term	0	1
schönhauser Allee	640	0,060651018	0,768256418	10,84708142	ne	0	0
gestern Abend	6918	0,056632901	0,767562832	10,75541303	error	0	
dominikanisch Republik	5360	0,059380906	0,766702977	10,81876985	ne	0	0
sexualisiert Gewalt	1479	0,027851295	0,76447119	9,782396981	term	0	0
betriebsbedingt Kündigung	2354	0,111639548	0,76073121	11,63943165	term	0	1
naturforschend Gesellschaft	430	0,002176499	0,760049842	6,152563843	term	0	1
nord-südlich Richtung	456	0,003413098	0,759316344	6,799144404	term	0	0
associat Professor	1181	0,023986044	0,758263173	9,573536396	term	0	0
glykämisch Index	632	0,093022218	0,757762119	11,40669162	term	0	0
herzliche Dank	597	0,009565713	0,75729679	8,274132814	error	0	
amtsangehörig Gemeinde	550	0,002004774	0,757215188	6,034493789	term	0	1
explosionsgefährdet Bereich	474	0,001593294	0,756875319	5,703901797	term	0	1
nashvill Predator	505	0,53780534	0,755985795	13,32998536	ne	0	0
vereint Nation	29640	0,422209167	0,755798419	13,11600461	ne	0	0
schoss Tor	737	0,004224433	0,75578157	7,10535497	error	0	
stat Navy	3687	0,76067058	0,755526829	13,6004525	ne	0	0
schönhaus Allee	500	0,04738355	0,755235385	10,51277093	ne	0	0
klassenlos Gesellschaft	540	0,00273324	0,752126534	6,480079866	term	0	0
nichtlandwirtschaftlich Arbeitsstätte	465	0,224962925	0,751203404	12,46984332	term	1	1
gender Mainstreaming	1293	0,728859112	0,749562747	13,56377961	term	1	0
ausgekoppelt Single	706	0,016991581	0,747671608	9,088654697	term	0	0
nationaldemokratisch Partei	435	0,002106848	0,7450829	6,105753687	term	0	1
seltenst Fall	3822	0,014459438	0,744127911	8,861096652	collocation	0	0
prenzlau Berg	1268	0,016068731	0,743296317	9,009757317	ne	0	0
sachdienlich Hinweis	1598	0,021221178	0,741497106	9,401148586	term	0	0
mellitus Typ	569	0,008779024	0,739592073	8,15142656	term	0	0
unbeschrieben Blatt	1299	0,020855405	0,739436253	9,376612673	idiom	0	0
neurodegenerativ Erkrankung	636	0,009024991	0,739176277	8,190823416	term	0	1
kategorisiert Ort	738	0,003183876	0,739034525	6,69940872	term	0	0
hochrot Kopf	656	0,011621771	0,738452248	8,550599676	collocation	0	1
vereinigt Staat	110142	0,376195159	0,735275911	12,9945776	ne	0	0
probat Mittel	1597	0,010659929	0,73518371	8,427987406	collocation	0	0
obenliegend Nockenwelle	1107	0,307754404	0,734072093	12,79474426	term	1	1
altenburger Land	1591	0,003609082	0,733298483	6,879956854	ne	0	0
erziehend Mutter	3266	0,049864867	0,732953896	10,57941702	error	0	
nichtselbständig Arbeit	530	0,001474632	0,732230144	5,592640033	term	0	1
zweitgeboren Sohn	411	0,003038563	0,731927945	6,631998119	collocation	0	1
kinderreich Familie	1284	0,006761709	0,731072751	7,778849584	collocation	0	1
brühlsch Terrasse	489	0,036576232	0,730875556	10,15664087	ne	0	0
cm³ Hubraum	6303	0,464639741	0,730575894	13,18407088	term	1	0
verwechselt Farbe	472	0,003712454	0,729999783	6,919622819	term	0	0
iberisch Halbinsel	4858	0,281842631	0,72827226	12,70106164	ne	1	0
informationell Selbstbestimmung	2218	0,409069823	0,725057098	13,06502498	term	1	0
Erneuerbar Energie	486	0,003545568	0,724671852	6,853580609	error	0	
wolkenlos Himmel	1090	0,0281487	0,724540785	9,794343485	collocation	0	0
vertrauensbildend Maßnahme	643	0,004271274	0,722514986	7,12081219	collocation	0	1
krönend Abschluss	3527	0,108898117	0,722153649	11,59853737	collocation	0	0
nachwachsend Rohstoff	6074	0,277974256	0,721896867	12,6831638	term	1	0
böig Wind	664	0,017177605	0,71997844	9,102774157	collocation	0	0
versailler Vertrag	1141	0,016537286	0,71771324	9,049213473	ne	0	0
kolorektal Karzinom	438	0,274435202	0,716851663	12,66691615	term	0	0
wirbellos Tier	760	0,005336234	0,71423034	7,43972751	term	0	0
ionisierend Strahlung	1294	0,085641657	0,714057085	11,29109469	term	0	0
arglistig Täuschung	1185	0,245389966	0,712548934	12,54622406	collocation	0	0
Botanisch Garten	2958	0,045672331	0,712281986	10,45802247	ne	0	0
läufig Hündin	590	0,059384782	0,711652851	10,81064447	term	0	0
entarten Kunst	750	0,007054125	0,709013285	7,838730364	term	0	0
absehbar Zeit	11870	0,012332419	0,708768806	8,636705497	collocation	0	0
hochsommerlich Temperatur	1090	0,017359916	0,70839579	9,117177494	collocation	0	1
schulpflichtig Kind	1468	0,003274607	0,708259145	6,74025353	term	0	1
geldwert Vorteil	2091	0,022315248	0,705948518	9,469584799	term	0	1
limitierend Faktor	635	0,007964417	0,705149418	8,011834201	collocation	0	0
faustdick Überraschung	438	0,013076769	0,696173646	8,716414751	collocation	0	1
haushaltsnah Dienstleistung	852	0,030511658	0,69537118	9,903649841	term	1	1
Amerikanisches Unabhängigkeitskrieg	490	0,136793977	0,694035112	11,87054875	ne	1	0
versteuernd Einkommen	609	0,016104616	0,693430804	9,01062531	term	0	0
traditionelle Medizin	402	0,009669754	0,692892026	8,287840909	error	0	
eidesstattlich Versicherung	2049	0,091554356	0,691424446	11,3714615	term	0	1
fachgebunden Hochschulreife	440	0,151775463	0,690725205	11,99345715	term	1	1
bildgebend Verfahren	2831	0,023029804	0,690714276	9,512763387	term	0	1
fruchtbringend Gesellschaft	513	0,002596265	0,690362983	6,405897339	ne	0	1
hellseherisch Fähigkeit	567	0,007815057	0,687737163	7,984420245	collocation	0	1
letz Jahr	664	0,000165888	0,687512264	2,454595707	error	0	
Byzantinisch Reich	525	0,003963884	0,687396096	7,013285691	ne	0	0
dreißigjährig Krieg	2807	0,020799284	0,686637881	9,370108749	term	0	1
kaspisch Meer	1190	0,024805933	0,686430279	9,615787627	ne	0	0
misslich Lage	1538	0,01200357	0,685650818	8,595019035	collocation	0	0
selbstgesteuert Lernen	577	0,0166451	0,683474238	9,056652289	term	0	1
kassenärztlich Vereinigung	3980	0,112030584	0,682513815	11,62284834	term	0	1
landgerichtlich Urteil	473	0,010575551	0,681328951	8,414815114	term	0	1
eierlegend Wollmilchsau	1139	0,846208258	0,681219033	13,59417494	idiom	1	1
erdähnlich Planet	517	0,019346111	0,681024839	9,267873588	term	0	1
umbaut Raum	595	0,002305241	0,679456344	6,235150706	term	0	0
naturhistorisch Museum	1754	0,021819256	0,678388806	9,436374321	ne	0	1
Pazifisch Ozean	1445	0,074835926	0,678312016	11,10897108	ne	0	0
