phrase	raw_frequency	dp1	dp2	logDice	label	compound-nn	compound-adj
südamerikanisch Anden-Staat	1610	0,999947256	0,135521886	11,93324225	ne	1	1
slowakisch Denkmalschutzvorschrift	1865	0,998865516	0,131523262	11,89494393	term	1	0
pazifisch Inselraum	1915	0,998407342	0,256358753	12,70652655	ne	1	0
best Paypal-angebot	441	0,996999842	0,00075434	4,626414717	ne	1	0
jung Nationaldemokrat	436	0,846898467	0,000744428	4,607923874	free	1	0
evangelisch Film-Beobachter	496	0,993202721	0,003233425	6,722600102	ne	1	0
erfahren Streitvermittler	1097	0,992415974	0,01610413	9,020363123	term	1	0
europäisch Südsternwarte	693	0,991815101	0,001452904	5,571068877	ne	1	0
grün Klee	537	0,581583586	0,003247663	6,726469177	free	0	0
westfälisch Wilhelms-Universität	2313	0,99089776	0,101799989	11,56273863	ne	1	0
international Cricket-Saison	455	0,990781919	0,000875106	4,840500111	ne	1	0
deutsch Umwelthilfe	1219	0,983201466	0,000564214	4,207804918	ne	1	0
westfälisch Wilhelms-universität	824	0,979673512	0,036265922	10,16232614	ne	1	0
voll Montur	559	0,641331502	0,002390582	6,287180799	collocation	0	0
deutsch Naturschutzring	406	0,974343856	0,000187898	2,622201803	ne	1	0
deutsch Schallplattenkritik	757	0,973304063	0,000350338	3,520777038	ne	1	0
kölner Stadt-anzeiger	1214	0,973287816	0,024458871	9,610713302	ne	1	0
nationalsozialistisch Volkswohlfahrt	459	0,972262922	0,011962092	8,596983334	ne	1	1
deutsch Kriegsgräberfürsorge	1223	0,96966492	0,000565977	4,21251718	ne	1	0
akademisch Auslandsamt	1099	0,96716727	0,021063941	9,399857109	term	1	0
russisch SFSR	1271	0,965583106	0,006775658	7,784546239	ne	0	0
barmer Gek	420	0,96551226	0,302158196	12,88056477	ne	1	0
preußisch Uraufnahme	803	0,964636472	0,008056357	8,032377137	ne	1	0
olympisch Sommerspielen	1116	0,963052007	0,008375522	8,087947699	ne	1	0
deutsch Bühnenverein	451	0,962989264	0,000208696	2,773815458	ne	1	0
eigen Bekunden	2074	0,962503515	0,001326713	5,440455125	cliche	0	0
olympisch Sommerspiel	18973	0,962020903	0,142391253	11,98894075	ne	1	0
europäisch Sozialfonds	2368	0,961731943	0,00496423	7,33850775	ne	1	0
deutsch Fernsehfunk	566	0,961416365	0,000261907	3,10141063	ne	1	0
nordisch Junioren-Skiweltmeisterschaft	442	0,960755059	0,019438732	9,28618975	ne	1	0
wissenschaftlich Buchgesellschaft	570	0,959939872	0,002291855	6,227369985	ne	1	0
gesamt Bundesgebiet	4118	0,644336243	0,008253419	8,062913125	free	1	0
international Sportgerichtshof	412	0,957704877	0,00079233	4,697358304	ne	1	0
deutsch Fußball-bund	1551	0,957682294	0,000717667	4,555055219	ne	1	0
stärken Selbstbewusstseinstraining	588	0,957650039	0,391999866	13,15391268	error		
deutsch Jugendinstitut	643	0,957281659	0,000297523	3,285372571	ne	1	0
deutsch Presse-agentur	792	0,95712408	0,000366466	3,585951458	ne	1	0
lang Blütenstiel	1116	0,594278188	0,001811067	5,889762279	free	1	0
märkisch Oderzeitung	434	0,953791751	0,039357832	10,27446489	ne	1	0
deutsch Tierschutzbund	1532	0,953648195	0,000708841	4,537281505	ne	1	0
schottisch Denkmallist	1326	0,953107563	0,039993634	10,29663401	ne	1	0
schwäbisch Gmünd	2880	0,952853161	0,085555684	11,32898976	ne	0	0
vorläufig Vollstreckbarkeit	898	0,952118639	0,027793882	9,789418139	term	1	0
deutsch Bundesstiftung	1143	0,951842464	0,000528843	4,114958225	ne	1	0
rhythmisch Sportgymnastik	702	0,951172335	0,070994961	11,08001622	term	1	0
gemeinsam Bundesausschuss	1136	0,950399889	0,00319261	6,704255314	ne	1	0
palästinensisch Autonomiebehörde	1094	0,949534754	0,045441031	10,47271599	ne	1	0
deutsch Synchronbearbeitung	440	0,947512799	0,000203568	2,738194219	term	1	0
genf Auto-Salon	463	0,946809589	0,103140878	11,57351787	ne	1	0
international Währungsfonds	3712	0,946709431	0,00713843	7,859219802	term	1	0
ewig Verdammnis	668	0,820307058	0,010234131	8,371756394	collocation	0	0
gemeinsam Bundesausschuß	735	0,945341491	0,00206562	6,077794869	ne	1	0
ständig Impfkommission	736	0,944247278	0,006779503	7,78512659	ne	1	0
online SPIEGEL	420	0,943731192	0,023653848	9,562515421	ne	0	0
deutsch Mieterbund	1019	0,942137388	0,000471415	3,949365631	ne	1	0
olympisch Winterspiel	17543	0,941058996	0,131657103	11,88611148	ne	1	0
hervortretend Sporenlager	698	0,938165213	0,344181223	13,01037168	term	1	0
deutsch Krebshilfe	1570	0,937553353	0,00072628	4,572585058	ne	1	0
deutsch Bundesbank	2694	0,936842572	0,00124623	5,350778502	ne	1	0
